Twinned,Orientation,Strain_level,Grain_size,Triple_points,Near_edge,T_SF1,T_SF2,T_SF3,T_SF4,T_SF5,T_SF6,S_SF1,S_SF2,S_SF3,Neighbor_grain_n,Max_B-b_m,Min_B-b_m,Mean_B-b_m,Max_B-t_m,Min_B-t_m,Mean_B-t_m,Max_Gbmisang,Min_Gbmisang,Mean_Gbmisang,Max_deltaGs,Min_deltaGs,Mean_deltaGs,Max_deltaBSF,Min_deltaBSF,Mean_deltaBSF
0,0,0.06,3.47 ,2,1,0.3269 ,0.3043 ,0.2959 ,0.2587 ,0.2104 ,0.1506 ,0.4333 ,0.3683 ,0.0650 ,2,0.7824 ,0.6096 ,0.6960 ,0.8547 ,0.0143 ,0.3376 ,34.30 ,16.89 ,25.59 ,55.34 ,7.56 ,31.45 ,-0.0807 ,-0.2066 ,-0.1436 
1,0,0.06,8.37 ,1,1,0.5000 ,0.4996 ,0.4991 ,0.4977 ,0.4969 ,0.4960 ,0.0298 ,0.0239 ,0.0059 ,2,0.1512 ,0.1351 ,0.1431 ,0.8263 ,0.0007 ,0.3260 ,73.18 ,28.20 ,50.69 ,22.76 ,-0.11 ,11.32 ,0.3042 ,0.2763 ,0.2902 
0,0,0.06,6.41 ,2,1,0.4857 ,0.4845 ,0.4798 ,0.4782 ,0.4700 ,0.4579 ,0.1624 ,0.1313 ,0.0311 ,4,0.9883 ,0.8384 ,0.8948 ,0.7811 ,0.0218 ,0.3406 ,27.52 ,8.23 ,22.32 ,9.01 ,-1.74 ,2.44 ,0.2471 ,-0.0536 ,0.0848 
0,0,0.06,3.41 ,0,1,0.2536 ,0.2494 ,0.1093 ,0.0832 ,0.0556 ,0.0252 ,0.4989 ,0.2781 ,0.2208 ,1,0.2949 ,0.2949 ,0.2949 ,0.5069 ,0.0035 ,0.2011 ,49.58 ,49.58 ,49.58 ,55.41 ,55.41 ,55.41 ,-0.2722 ,-0.2722 ,-0.2722 
0,0,0.06,8.26 ,2,1,0.0194 ,0.0058 ,-0.1157 ,-0.1432 ,-0.3437 ,-0.3848 ,0.3061 ,0.2446 ,0.0615 ,3,0.1351 ,0.0038 ,0.0499 ,0.5854 ,0.0098 ,0.2332 ,88.90 ,73.18 ,83.52 ,22.87 ,-2.85 ,6.71 ,0.0280 ,-0.2763 ,-0.0798 
0,0,0.06,5.72 ,2,1,0.4921 ,0.4920 ,0.4908 ,0.4883 ,0.4799 ,0.4749 ,0.1256 ,0.0873 ,0.0383 ,4,0.8984 ,0.5868 ,0.7163 ,0.9187 ,0.0078 ,0.3493 ,38.11 ,20.03 ,28.46 ,0.69 ,-2.66 ,-1.43 ,0.3538 ,-0.1030 ,0.1414 
1,0,0.06,6.69 ,0,1,0.4013 ,0.3961 ,0.3552 ,0.3407 ,0.3132 ,0.2937 ,0.3973 ,0.2330 ,0.1643 ,1,0.7951 ,0.7951 ,0.7951 ,0.7979 ,0.0824 ,0.3473 ,33.03 ,33.03 ,33.03 ,30.25 ,30.25 ,30.25 ,-0.2696 ,-0.2696 ,-0.2696 
0,0,0.06,3.06 ,3,0,0.3116 ,0.3025 ,0.2201 ,0.1778 ,0.1710 ,0.1196 ,0.4794 ,0.3007 ,0.1786 ,4,0.7753 ,0.2645 ,0.5315 ,0.7656 ,0.0015 ,0.2882 ,55.77 ,29.55 ,42.73 ,2.66 ,0.83 ,1.49 ,-0.0161 ,-0.3538 ,-0.1450 
0,0,0.06,4.68 ,4,0,0.4022 ,0.3950 ,0.3802 ,0.3674 ,0.3440 ,0.2944 ,0.3447 ,0.3200 ,0.0247 ,5,0.9561 ,0.7438 ,0.8149 ,0.7772 ,0.0330 ,0.3338 ,39.10 ,15.86 ,26.19 ,4.92 ,-2.16 ,0.42 ,0.1347 ,-0.1823 ,0.0366 
0,0,0.06,3.80 ,2,1,0.4999 ,0.4995 ,0.4993 ,0.4979 ,0.4976 ,0.4968 ,0.0226 ,0.0200 ,0.0025 ,3,0.7832 ,0.7345 ,0.7645 ,0.8221 ,0.0802 ,0.3554 ,33.61 ,20.03 ,27.30 ,5.58 ,0.10 ,2.53 ,0.3812 ,0.1030 ,0.2421 
